Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
239394876,Death in the Midwest: A COLLECTION OF NINE STORIES OF DEATH IN THE MIDWESTERN UNITED STATES... and ONE IN LONDON,Will Saulsbery,"Saulsbery, Will",,"=""""","=""9798285798859""",0,Ashtonbery Press,Kindle Edition,115,2025,2025,,2025/09/10,to-read,to-read (#2465),to-read,,,,0,0
222419254,Swallows,Natsuo Kirino,"Kirino, Natsuo",Lisa Hofmann-Kuroda,"=""030726758X""","=""9780307267580""",0,Knopf,Hardcover,352,2025,2022,,2025/09/10,to-read,to-read (#2464),to-read,,,,0,0
9910,The Name of the World,Denis Johnson,"Johnson, Denis",,"=""0413771601""","=""9780413771605""",0,HarperCollins,Paperback,129,2001,2000,,2025/09/10,to-read,to-read (#2463),to-read,,,,0,0
224003731,To the Moon and Back,Eliana Ramage,"Ramage, Eliana",,"=""1668065851""","=""9781668065853""",0,Avid Reader Press / Simon & Schuster,Hardcover,448,2025,2025,,2025/09/09,to-read,to-read (#2462),to-read,,,,0,0
42270835,The Nickel Boys,Colson Whitehead,"Whitehead, Colson",,"=""""","=""""",0,Doubleday,ebook,213,2019,2019,,2025/09/09,to-read,to-read (#2461),to-read,,,,0,0
220804608,We Computers: A Ghazal Novel,Hamid Ismailov,"Ismailov, Hamid",Shelley Fairweather-Vega,"=""030027274X""","=""9780300272741""",0,Yale University Press,Paperback,296,2025,2025,,2025/09/09,to-read,to-read (#2460),to-read,,,,0,0
215537047,Sleep Phase,Mohamed  Kheir,"Kheir, Mohamed",Robin Moger,"=""1949641783""","=""9781949641783""",0,Two Lines Press,Paperback,240,2025,2024,,2025/09/09,to-read,to-read (#2459),to-read,,,,0,0
39927096,"Less (Arthur Less, #1)",Andrew Sean Greer,"Greer, Andrew Sean",,"=""""","=""""",3.0,Lee Boudreaux Books,Kindle Edition,273,2017,2017,2025/09/09,2024/11/19,,,read,,,,1,0
222399131,Howl’s Moving Castle,Diana Wynne Jones,"Jones, Diana Wynne",,"=""0063416468""","=""9780063416468""",0,Greenwillow Books,Hardcover,352,2025,1986,,2025/09/09,to-read,to-read (#2458),to-read,,,,0,0
20889856,Entropy,Thomas Pynchon,"Pynchon, Thomas",,"=""""","=""""",0,,Paperback,16,1960,1960,,2025/09/08,to-read,to-read (#2457),to-read,,,,0,0
215528054,The Mad Butterfly's Ball,Preston Grassmann,"Grassmann, Preston","Chris Kelso, Tom Over, Matt Neil Hill","=""1803943424""","=""9781803943428""",0,PS Publishing,Paperback,390,2024,,,2025/09/07,to-read,to-read (#2456),to-read,,,,0,0
239880130,Catbirds,Ezra Palmer,"Palmer, Ezra",,"=""""","=""9798987788202""",0,Taag & Rohg,Paperback,184,2025,,,2025/09/07,to-read,to-read (#2455),to-read,,,,0,0
